position,name,artist,url
1,Em Cưới Rồi À,Thanh Hưng,https://zingmp3.vn/bai-hat/Em-Cuoi-Roi-A-Thanh-Hung/Z8WIZ9FF.html
2,Thời Thế Thế Thời,Nguyễn Vĩ,https://zingmp3.vn/bai-hat/Thoi-The-The-Thoi-Nguyen-Vi/Z8WIZC8I.html
3,NẾU KHI ẤY,Negav,https://zingmp3.vn/bai-hat/NEU-KHI-AY-Negav/Z8WIZBU8.html
4,Đến Lúc Thay Đổi Rồi,Trung Quân,https://zingmp3.vn/bai-hat/Den-Luc-Thay-Doi-Roi-Trung-Quan-Bui-Anh-Tuan/Z8WIWBBI.html
5,Ghệ Mới,B Ray,https://zingmp3.vn/bai-hat/Ghe-Moi-B-Ray-Young-H/Z8I9WFDZ.html
6,Hợp Nhưng Không Hợp Pháp,Lê Chí Trung,https://zingmp3.vn/bai-hat/Hop-Nhung-Khong-Hop-Phap-Le-Chi-Trung/Z8WIFEUI.html
7,MÊ CUNG 79,Phương Thanh,https://zingmp3.vn/bai-hat/ME-CUNG-79-Phuong-Thanh/Z8ID0AI6.html
8,Tái Sinh (Author Version),Tăng Duy Tân,https://zingmp3.vn/bai-hat/Tai-Sinh-Author-Version-Tang-Duy-Tan/Z8WIUA6U.html
9,Chăm Em Một Đời,Đức Phúc,https://zingmp3.vn/bai-hat/Cham-Em-Mot-Doi-Duc-Phuc/Z8IAUCA8.html
10,"Ngày Này, Người Con Gái Này",Vũ Cát Tường,https://zingmp3.vn/bai-hat/Ngay-Nay-Nguoi-Con-Gai-Nay-Vu-Cat-Tuong/Z8IFI0BD.html
11,"Ngày Này, Người Con Gái Này (Vow Version)",Vũ Cát Tường,https://zingmp3.vn/bai-hat/Ngay-Nay-Nguoi-Con-Gai-Nay-Vow-Version-Vu-Cat-Tuong/Z8WIUAW8.html
12,Địa Đàng,Hoàng Oanh,https://zingmp3.vn/bai-hat/Dia-Dang-Hoang-Oanh/Z8WIFDI8.html
13,Đổi Biệt Danh Thành Tên Đầy Đủ,DICKSON,https://zingmp3.vn/bai-hat/Doi-Biet-Danh-Thanh-Ten-Day-Du-DICKSON/Z8IDBOWU.html
14,Lần Đầu Tiên,Emcee L (Da LAB),https://zingmp3.vn/bai-hat/Lan-Dau-Tien-Emcee-L-Da-LAB-Muoii/Z8ID8EEA.html
15,Ngồi Đợi Anh Đến,Hannie,https://zingmp3.vn/bai-hat/Ngoi-Doi-Anh-Den-Hannie/Z8IDBUEB.html
16,Có Lẽ (Chill Version),WHEE!,https://zingmp3.vn/bai-hat/Co-Le-Chill-Version-WHEE/Z8IF8I96.html#video-clip
17,Lệ Ngang Trời,A Tuân,https://zingmp3.vn/bai-hat/Le-Ngang-Troi-A-Tuan-3Simba/Z8WICUC6.html
18,Nỗi Buồn Biết Đau,Phan Duy Anh,https://zingmp3.vn/bai-hat/Noi-Buon-Biet-Dau-Phan-Duy-Anh-ACV/Z8IEZ76Z.html
19,Nỗi Buồn Em Đánh Rơi (Soundtrack from Nụ Hôn Bạc Tỷ The Movie),Trà My Idol,https://zingmp3.vn/bai-hat/Noi-Buon-Em-Danh-Roi-Soundtrack-from-Nu-Hon-Bac-Ty-The-Movie-Tra-My-Idol/Z8I89C0A.html
20,Về Nhà Nhanh Đi Anh,Thoại Nghi,https://zingmp3.vn/bai-hat/Ve-Nha-Nhanh-Di-Anh-Thoai-Nghi-ICM/Z80EIU0U.html
21,I Do,Trung Quân,https://zingmp3.vn/bai-hat/I-Do-Trung-Quan-Bui-Anh-Tuan/Z8IAZ0E9.html#video-clip
22,Long Đong,Hana Cẩm Tiên,https://zingmp3.vn/bai-hat/Long-Dong-Hana-Cam-Tien/Z8WIUA7C.html
23,Bảy Ngày Đợi Mong,Khưu Huy Vũ,https://zingmp3.vn/bai-hat/Bay-Ngay-Doi-Mong-Khuu-Huy-Vu-Thieng-Ngan/Z8WIZADE.html
24,Em Biết Không (Domino Remix),Phan Duy Anh,https://zingmp3.vn/bai-hat/Em-Biet-Khong-Domino-Remix-Phan-Duy-Anh/Z8WICW9A.html
25,Nỗi Buồn Biết Đau,Mochiii,https://zingmp3.vn/bai-hat/Noi-Buon-Biet-Dau-Mochiii/Z8WICW9C.html
26,NƠI HOÀNG HÔN TẮT,Khánh Phương,https://zingmp3.vn/bai-hat/NOI-HOANG-HON-TAT-Khanh-Phuong-Hao-Thien/Z8IF7DZO.html
27,Sarang,Hoàng Green,https://zingmp3.vn/bai-hat/Sarang-Hoang-Green/Z8IED7CE.html#video-clip
28,Ngàn Kiếp Vẫn Yêu,Finn Nguyên Hy,https://zingmp3.vn/bai-hat/Ngan-Kiep-Van-Yeu-Finn-Nguyen-Hy/Z8WIZO0U.html
29,Địa Đàng (Remix),Hoàng Oanh,https://zingmp3.vn/bai-hat/Dia-Dang-Remix-Hoang-Oanh/Z8WOUZIO.html
30,Bể Cá,Lope Dope,https://zingmp3.vn/bai-hat/Be-Ca-Lope-Dope/Z8IDC0EF.html
31,Dù Cho Tận Thế,ERIK,https://zingmp3.vn/bai-hat/Du-Cho-Tan-The-ERIK/Z8IZ6768.html
32,Thương Cô Bé Ngày Xưa,Khưu Huy Vũ,https://zingmp3.vn/bai-hat/Thuong-Co-Be-Ngay-Xua-Khuu-Huy-Vu-Thieng-Ngan/Z8WIZB60.html
33,Vì Tiền Sang Campuchia,Điểu Dũng,https://zingmp3.vn/bai-hat/Vi-Tien-Sang-Campuchia-Dieu-Dung/Z8WIZCOW.html
34,Đời Ta Do Chính Ta,Đoàn Lâm,https://zingmp3.vn/bai-hat/Doi-Ta-Do-Chinh-Ta-Doan-Lam-CT/Z8WIFD6D.html
35,anh đã 0 dám quay trở lại (feat. Dangrangto),Dab,https://zingmp3.vn/bai-hat/anh-da-0-dam-quay-tro-lai-feat-Dangrangto-Dab-Dangrangto/Z8IEZCF0.html
36,Ánh Mắt Biết Cười,Quang Hùng MasterD,https://zingmp3.vn/bai-hat/Anh-Mat-Biet-Cuoi-Quang-Hung-MasterD-Tang-Duy-Tan/Z8IUWW8E.html
37,Mùa Thu Và Lời Xin Lỗi,Thành Đạt,https://zingmp3.vn/bai-hat/Mua-Thu-Va-Loi-Xin-Loi-Thanh-Dat/Z8IDBIAD.html
38,lả lơi (feat. Dangrangto) - Extended,Dab,https://zingmp3.vn/bai-hat/la-loi-feat-Dangrangto-Extended-Dab/Z8IEZCFZ.html
39,Lời Anh Nói Với Em,T.U.N,https://zingmp3.vn/bai-hat/Loi-Anh-Noi-Voi-Em-T-U-N-Do-Tuyet-Nhi/Z8WIOZ0D.html
40,EM LÀ BÔNG HỒNG NHỎ,Thỏ Mảy Màu,https://zingmp3.vn/bai-hat/EM-LA-BONG-HONG-NHO-Tho-May-Mau-Huy-Bo-Thai-Lena/Z8IEUO60.html
41,Không Quê Đâu Nha,Thanh Duy,https://zingmp3.vn/bai-hat/Khong-Que-Dau-Nha-Thanh-Duy/Z8IB9ZAE.html
42,Yên Bình Thương Em,An Vũ,https://zingmp3.vn/bai-hat/Yen-Binh-Thuong-Em-An-Vu/Z8ID7OEE.html#video-clip
43,Wanna Hear You Say (Vie),Hoàng Mỹ An,https://zingmp3.vn/bai-hat/Wanna-Hear-You-Say-Vie-Hoang-My-An-Samuel/Z80DEO6D.html
44,Mình Gọi Nhau Tình Yêu Ơi,Thành Đạt,https://zingmp3.vn/bai-hat/Minh-Goi-Nhau-Tinh-Yeu-Oi-Thanh-Dat-An-Nhi/Z8IDBWIC.html
45,Khóa Then Chốt Cài (Piano Version),Duy Phước,https://zingmp3.vn/bai-hat/Khoa-Then-Chot-Cai-Piano-Version-Duy-Phuoc/Z8WIUA6B.html
46,Phải Chia Tay Thôi (Nhạc Sống Ver 1),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Phai-Chia-Tay-Thoi-Nhac-Song-Ver-1-Le-Bao-Binh/Z8IF7CWD.html
47,Muốn Được Yêu,Blacka,https://zingmp3.vn/bai-hat/Muon-Duoc-Yeu-Blacka-Arthur/Z8IB9ZD9.html
48,Mai Này,Hoàng Ngọc Sơn,https://zingmp3.vn/bai-hat/Mai-Nay-Hoang-Ngoc-Son/Z8ID90AO.html
49,Tuyết Yêu Thương (Remix),Mochiii,https://zingmp3.vn/bai-hat/Tuyet-Yeu-Thuong-Remix-Mochiii/Z8WOUZIW.html
50,Thời Thế Thế Thời - Vinahouse Version,Nguyễn Vĩ,https://zingmp3.vn/bai-hat/Thoi-The-The-Thoi-Vinahouse-Version-Nguyen-Vi/Z8WIE898.html
51,Mất Nửa Cuộc Đời,Tracy Thảo My,https://zingmp3.vn/bai-hat/Mat-Nua-Cuoc-Doi-Tracy-Thao-My-KayDee/Z8IDIC9U.html
52,ai sẽ chữa lành tổn thương,Dab,https://zingmp3.vn/bai-hat/ai-se-chua-lanh-ton-thuong-Dab/Z8IEZCEF.html
53,Yêu Anh Là Một Sai Lầm (HM Remix),Oanh Tạ,https://zingmp3.vn/bai-hat/Yeu-Anh-La-Mot-Sai-Lam-HM-Remix-Oanh-Ta-HM-Remix/Z8IEDCO0.html
54,Chỉ Là Lời Hứa,Trung Lewis,https://zingmp3.vn/bai-hat/Chi-La-Loi-Hua-Trung-Lewis/Z8IF8OBC.html
55,matphuonghuong,Trần Nghiên,https://zingmp3.vn/bai-hat/matphuonghuong-Tran-Nghien/Z8ID90A7.html
56,Tập Chấp Nhận Thôi Anh,Lê Thu Thảo,https://zingmp3.vn/bai-hat/Tap-Chap-Nhan-Thoi-Anh-Le-Thu-Thao/Z8IBWZOC.html
57,Đục Trong,Như Bee,https://zingmp3.vn/bai-hat/Duc-Trong-Nhu-Bee-HTM/Z8IEDCEA.html
58,Bỏ Lỡ Một Người (Nhạc Sống Ver 1),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Bo-Lo-Mot-Nguoi-Nhac-Song-Ver-1-Le-Bao-Binh/Z8IF7CWW.html
59,liệu em có biết?,Dab,https://zingmp3.vn/bai-hat/lieu-em-co-biet-Dab/Z8IEZCFU.html
60,dark side (interlude),Dab,https://zingmp3.vn/bai-hat/dark-side-interlude-Dab/Z8IEZCFW.html
61,intro,Dab,https://zingmp3.vn/bai-hat/intro-Dab/Z8IEZCED.html
62,Mạnh Bà (CaoTri Lofi),Linh Hương Luz,https://zingmp3.vn/bai-hat/Manh-Ba-CaoTri-Lofi-Linh-Huong-Luz-Meme-Media/Z8WIUAZI.html
63,Dưới Ánh Đèn Trong Thành Phố,Đức Trường,https://zingmp3.vn/bai-hat/Duoi-Anh-Den-Trong-Thanh-Pho-Duc-Truong-BMZ/Z8I8FOCD.html#video-clip
64,Không Sao Anh Quen Rồi,Trịnh Thiên Ân,https://zingmp3.vn/bai-hat/Khong-Sao-Anh-Quen-Roi-Trinh-Thien-An-Thien-Dung/Z8ID90U7.html
65,Cypher Love,KHOA,https://zingmp3.vn/bai-hat/Cypher-Love-KHOA-Minh-Huy-Freaky-Pjnboys-Bao-Kun-KOO-dubbie-BILLY100-Night-T/Z8ICF9I6.html
66,vì anh đã sai lời hứa,Dab,https://zingmp3.vn/bai-hat/vi-anh-da-sai-loi-hua-Dab/Z8IEZCF6.html
67,đã quá lâu (feat. Dewie),Dab,https://zingmp3.vn/bai-hat/da-qua-lau-feat-Dewie-Dab-Dewie/Z8IEZCFI.html
68,such a shame (feat. Big Wind),Dab,https://zingmp3.vn/bai-hat/such-a-shame-feat-Big-Wind-Dab-Big-Wind/Z8IEZCFO.html
69,Nước Mắt Chảy Ngược (Nhạc Sống Ver 1),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Nuoc-Mat-Chay-Nguoc-Nhac-Song-Ver-1-Le-Bao-Binh/Z8IF7CWB.html
70,anh buồn,Dab,https://zingmp3.vn/bai-hat/anh-buon-Dab/Z8IEZCEE.html
71,Con Đường Mưa,Đặng Vĩnh Thịnh,https://zingmp3.vn/bai-hat/Con-Duong-Mua-Dang-Vinh-Thinh/Z8IF7D66.html
72,Bỏ Lỡ Một Người (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Bo-Lo-Mot-Nguoi-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7CWO.html
73,Phải Thế Thôi (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Phai-The-Thoi-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7COI.html
74,Du Xuân (Gaz Mix),Wheelie,https://zingmp3.vn/bai-hat/Du-Xuan-Gaz-Mix-Wheelie/Z8IF8UDU.html
75,THIGIO,INC Sick,https://zingmp3.vn/bai-hat/THIGIO-INC-Sick-INC-3Fe-EREN-BAN/Z8IDBW60.html#video-clip
76,letting go,Mỹ Anh,https://zingmp3.vn/bai-hat/letting-go-My-Anh/Z8IE797W.html
77,Đùa Hơi Quá (Nhạc Sống Ver 1),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Dua-Hoi-Qua-Nhac-Song-Ver-1-Le-Bao-Binh/Z8IF7CW7.html
78,Quay Lưng Về Nhau (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Quay-Lung-Ve-Nhau-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7COU.html
79,Phải Thế Thôi (Nhạc Sống Ver 1),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Phai-The-Thoi-Nhac-Song-Ver-1-Le-Bao-Binh/Z8IF7CO0.html
80,Xin Lỗi Được Chưa,JunDi,https://zingmp3.vn/bai-hat/Xin-Loi-Duoc-Chua-JunDi-PiaLinh/Z8I9WDEF.html
81,Chẳng thể ngủ nổi,Gim Lion,https://zingmp3.vn/bai-hat/Chang-the-ngu-noi-Gim-Lion/Z8ICFCOB.html
82,Phải Chia Tay Thôi (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Phai-Chia-Tay-Thoi-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7CWE.html
83,Nước Mắt Chảy Ngược (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Nuoc-Mat-Chay-Nguoc-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7CWC.html
84,Em Giờ Ra Sao (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Em-Gio-Ra-Sao-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7CWA.html
85,Xem Nhau Là Dĩ Vãng (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Xem-Nhau-La-Di-Vang-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7COC.html
86,Nỗi Buồn Biết Đau (ACV Remix),Phan Duy Anh,https://zingmp3.vn/bai-hat/Noi-Buon-Biet-Dau-ACV-Remix-Phan-Duy-Anh/Z8WOUZ8B.html
87,Em Giờ Ra Sao (Nhạc Sống Ver 1),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Em-Gio-Ra-Sao-Nhac-Song-Ver-1-Le-Bao-Binh/Z8IF7CW9.html
88,CÓ LẼ VÌ,Nguyễn Đình Tuấn Dũng,https://zingmp3.vn/bai-hat/CO-LE-VI-Nguyen-Dinh-Tuan-Dung/Z8IEDCOO.html
89,Bỏ Lỡ Một Người (Nhạc Sống Ver 3),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Bo-Lo-Mot-Nguoi-Nhac-Song-Ver-3-Le-Bao-Binh/Z8IF7CWU.html
90,Em Là Cố Chấp Duy Nhất Của Đời Tôi (DUCK REMIX),Thiên Tú,https://zingmp3.vn/bai-hat/Em-La-Co-Chap-Duy-Nhat-Cua-Doi-Toi-DUCK-REMIX-Thien-Tu-Duck-Remix/Z8IEDCEU.html
91,Phải Chia Tay Thôi (Nhạc Sống Ver 3),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Phai-Chia-Tay-Thoi-Nhac-Song-Ver-3-Le-Bao-Binh/Z8IF7CWF.html
92,8 Vạn 6 Ngàn Thương (Remix),Hạo Thiên (Kim Thiên),https://zingmp3.vn/bai-hat/8-Van-6-Ngan-Thuong-Remix-Hao-Thien-Kim-Thien/Z8IU0AO8.html
93,Con Hứa Sẽ Về (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Con-Hua-Se-Ve-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7CW6.html
94,Con Hứa Sẽ Về (Nhạc Sống Ver 1),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Con-Hua-Se-Ve-Nhac-Song-Ver-1-Le-Bao-Binh/Z8IF7CWZ.html
95,Đùa Hơi Quá (Nhạc Sống Ver 2),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Dua-Hoi-Qua-Nhac-Song-Ver-2-Le-Bao-Binh/Z8IF7CW8.html
96,Phải Thế Thôi (Nhạc Sống Ver 3),Lê Bảo Bình,https://zingmp3.vn/bai-hat/Phai-The-Thoi-Nhac-Song-Ver-3-Le-Bao-Binh/Z8IF7COW.html
97,"Yêu Đúng Bạn Thân (From ""Yêu Nhầm Bạn Thân"")",Hà An Huy,https://zingmp3.vn/bai-hat/Yeu-Dung-Ban-Than-From-Yeu-Nham-Ban-Than-Ha-An-Huy/Z8WW8WEF.html
98,Hợp Nhưng Không Hợp Pháp (Remix),Lê Chí Trung,https://zingmp3.vn/bai-hat/Hop-Nhung-Khong-Hop-Phap-Remix-Le-Chi-Trung/Z8WW9F07.html
99,Bức Tranh Vĩnh Hằng (ZZ Remix),Huyền Anh,https://zingmp3.vn/bai-hat/Buc-Tranh-Vinh-Hang-ZZ-Remix-Huyen-Anh-Meme-Media/Z8WIUAUD.html
100,Dù Cho Tận Thế,Quynhh Trangg,https://zingmp3.vn/bai-hat/Du-Cho-Tan-The-Quynhh-Trangg-Nguyen-Huu-Chien/Z8WOZEZI.html
